what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1348805982444
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1348805982444
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1348805982445
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1348805982446
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1348805982446
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1348805982447
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1348805982447
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1348805982448
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1348805982448
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1348805982449
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1348805982467
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1348805982468
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1348805982469
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1348805982469
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1348805982470
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1348805982471
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1348805982472
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1348805982484
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1348805982487
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1348805982487
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1348805982488
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1348805982514
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1348805982520
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1348805982521
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1348805982521
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1348805982529
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1348805982529
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1348805982532
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1348805982532
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1348805982535
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1348805982536
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1348805982554
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1348805982597
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1348805982622
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1348805982623
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1348805982623
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1348805982631
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1348805982640
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1348805982641
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1348805982654
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1348805982656
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1348805982657
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1348805982658
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1348805982659
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1348805982659
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1348805982660
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1348805982667
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1348805982673
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1348805982681
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1348805982682
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1348805982686
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1348805982686
started,bundle,org.ebayopensource.vjet.core.jst,1.0.0.201204120924,"org.ebayopensource.vjet.core.jst",1348805982689
started,bundle,org.ebayopensource.vjet.core.jstojava,1.0.0.201204120924,"org.ebayopensource.vjet.core.jstojava",1348805982700
started,bundle,org.ebayopensource.vjet.core.util,1.0.0.201204120924,"org.ebayopensource.vjet.core.util",1348805982703
started,bundle,org.ebayopensource.vjet.core.vjodef,1.0.0.201204120924,"org.ebayopensource.vjet.core.vjodef",1348805982704
started,bundle,org.ebayopensource.vjet.core.vjotool,1.0.0.201204120924,"org.ebayopensource.vjet.core.vjotool",1348805982705
started,bundle,org.ebayopensource.vjet.eclipse.debug,1.0.0.201204120924,"org.ebayopensource.vjet.eclipse.debug",1348805982706
started,bundle,org.ebayopensource.vjet.extmod.jsdt,1.0.0.201204120924,"org.ebayopensource.vjet.extmod.jsdt",1348805982717
started,bundle,org.ebayopensource.vjet.resource.jsnativetypes,1.0.0.201204120924,"org.ebayopensource.vjet.resource.jsnativetypes",1348805982735
started,bundle,org.eclipse.dltk.mod.core,1.0.0.201204120924,"org.eclipse.dltk.mod.core",1348805982749
started,bundle,org.eclipse.dltk.mod.debug,1.0.0.201204120924,"org.eclipse.dltk.mod.debug",1348805982756
started,bundle,org.eclipse.dltk.mod.javascript.ui,1.0.0.201204120924,"org.eclipse.dltk.mod.javascript.ui",1348805982763
started,bundle,org.eclipse.dltk.mod.launching,1.0.0.201204120924,"org.eclipse.dltk.mod.launching",1348805982775
started,bundle,org.eclipse.dltk.mod.ui,1.0.0.201204120924,"org.eclipse.dltk.mod.ui",1348805982810
started,bundle,uKernelCore,1.73.0,"uKernelCore",1348805982811
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1348805982812
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030424,"org.eclipse.wst.common.project.facet.core",1348805982820
started,bundle,com.collabnet.subversion.merge,3.0.9,"com.collabnet.subversion.merge",1348805982827
started,bundle,org.tigris.subversion.clientadapter,1.8.3,"org.tigris.subversion.clientadapter",1348805982833
started,bundle,org.tigris.subversion.subclipse.core,1.8.13,"org.tigris.subversion.subclipse.core",1348805982833
started,bundle,org.tigris.subversion.subclipse.ui,1.8.14,"org.tigris.subversion.subclipse.ui",1348805982846
os,sysinfo,,,"linux",1348805982849
arch,sysinfo,,,"x86_64",1348805982849
ws,sysinfo,,,"gtk",1348805982849
locale,sysinfo,,,"en_US",1348805982849
processors,sysinfo,,,"8",1348805982849
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1348805982849
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1348805982849
java.specification.name,sysinfo,,,"Java Platform API Specification",1348805982849
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1348805982849
java.specification.version,sysinfo,,,"1.6",1348805982849
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1348805982849
java.version,sysinfo,,,"1.6.0_26",1348805982849
java.vm.info,sysinfo,,,"mixed mode",1348805982849
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1348805982849
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1348805982849
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1348805982849
java.vm.specification.version,sysinfo,,,"1.0",1348805982849
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1348805982849
java.vm.version,sysinfo,,,"20.1-b02",1348805982849
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1348805982875
started,bundle,org.ebayopensource.vjet.extmod.rhino,1.0.0.201204120924,"org.ebayopensource.vjet.extmod.rhino",1348805983397
started,bundle,org.ebayopensource.vjet.core.ext,1.0.0.201204120924,"org.ebayopensource.vjet.core.ext",1348805983516
started,bundle,org.ebayopensource.vjet.resource.vjolib,1.0.0.201204120924,"org.ebayopensource.vjet.resource.vjolib",1348805983570
started,bundle,org.ebayopensource.vjet.core.jsgenshared,1.0.0.201204120924,"org.ebayopensource.vjet.core.jsgenshared",1348805983638
started,bundle,org.ebayopensource.vjet.eclipse.core,1.0.0.201204120924,"org.ebayopensource.vjet.eclipse.core",1348805983691
started,bundle,org.ebayopensource.vjet.eclipse.ui,1.0.0.201204120924,"org.ebayopensource.vjet.eclipse.ui",1348805988708
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1348805988732
error,log,,,"Unable to create editor ID org.eclipse.jdt.ui.CompilationUnitEditor: The file does not exist.",1348805988884
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348805988908
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348805988910
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348805988922
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1348805989130
